"A82619","NELSON STREET SURGERY","Y54","Q74","NELSON STREET SURGERY","18 NELSON STREET","DALTON-IN-FURNESS","CUMBRIA","","LA15 8AF","19850701","","D","B","01H","20130401","","01229 463999","","","","1","","01H","","4",""
"A83074","PEASE WAY MEDICAL CENTRE","Y54","Q74","THE PEASE WAY MEDICAL CTR","2 PEASE WAY","NEWTON AYCLIFFE","COUNTY DURHAM","","DL5 5NH","19921101","","A","B","00D","20130401","","01325 528000","","","","1","","00D","","4",""
"A89621","PENNYWELL MEDICAL CENTRE","Y54","Q74","PORTSMOUTH ROAD","PENNYWELL","SUNDERLAND","TYNE & WEAR","","SR4 9AS","19980420","","A","B","00P","20130401","","0191 5343279","","","","1","","00P","","4",""
"B81044","HOLME-BUBWITH MEDICAL GROUP","Y54","Q72","THE SURGERY","RUSH VIEW","HOLME-ON-SPALDING MOOR","YORK","","YO43 4BJ","19740401","","D","B","02Y","20130401","","01430 860221","","","","1","","02Y","","4",""
"B83631","WOODHEAD ROAD SURGERY","Y54","Q72","WOODHEAD ROAD SURGERY","157 WOODHEAD ROAD","BRADFORD","","","BD7 2BL","19740401","","A","B","02R","20130401","","01274 572146","","","","1","","02R","","4",""
"B83668","WESTWOOD PARK DERMATOLOGY CLINIC","Y54","Q72","SWIFT DRIVE","OFF COOPER LANE","BRADFORD","WEST YORKSHIRE","","BD6 3NL","20000401","","D","B","02R","20130401","","01274 425990","","","","1","","02R","","10",""
"B83698","EPCS DERMATOLOGY - WESTBOURNE GREEN","Y54","Q72","WESTBOURNE GREEN COMM H/C","50 HEATON ROAD","BRADFORD","WEST YORKSHIRE","","BD8 8RA","20020901","","D","B","02R","20130401","","01274 202485","","","","1","","02R","","10",""
"C82068","NORTHFIELD MEDICAL CENTRE","Y55","Q78","NORTHFIELD MEDICAL CENTRE","12 VILLERS COURT, BLABY","LEICESTER","LEICESTERSHIRE","","LE8 4NS","19740401","","A","B","03W","20130401","","0116 3192203","","","","1","","03W","","4",""
"C83027","HORNCASTLE MEDICAL GROUP","Y55","Q78","THE OLD VICARAGE","SPILSBY ROAD","HORNCASTLE","LINCOLNSHIRE","","LN9 6AL","19740401","","A","B","03T","20130401","","01507 522477","","","","1","","03T","","4",""
"C83038","THE GLEBE PRACTICE","Y55","Q78","THE GLEBE PRACTICE","85 SYKES LANE","SAXILBY","LINCOLN","","LN1 2NU","19740401","","A","B","04D","20130401","","01522 305298","","","","1","","04D","","4",""
"C84059","SHERWOOD MEDICAL PARTNERSHIP","Y55","Q76","CROWN MEDICAL CENTRE","CROWN FARM WAY","FOREST TOWN","NOTTINGHAMSHIRE","","NG19 0FW","19740401","","A","B","04H","20130401","","01623 626132","","","","1","","04H","","4",""
"C88049","ELM LANE SURGERY","Y54","Q72","104 ELM LANE","SHEFFIELD","SOUTH YORKSHIRE","","","S5 7TW","19740401","","A","B","03N","20130401","","0114 2455112","","","","1","","03N","","4",""
"D82026","LAKENHAM SURGERY","Y55","Q79","THE LAKENHAM SURGERY","1 NINHAM STREET, LAKENHAM","NORWICH","NORFOLK","","NR1 3JJ","19740401","","A","B","06W","20130401","","01603 765550","","","","1","","06W","","4",""
"E82018","LISTER HOUSE SURGERY","Y55","Q78","LISTER HOUSE","THE COMMON","HATFIELD","HERTFORDSHIRE","","AL10 0NL","19740401","","A","B","06K","20130401","","01707 283450","","","","1","","06K","","4",""
"E85724","HIBERNIA HOUSE SURGERY","Y56","Q71","HIBERNIA HOUSE SURGERY","108 HIBERNIA ROAD","HOUNSLOW","MIDDLESEX","","TW3 3RN","19930301","","D","B","07Y","20130401","","020 85779697","","","","1","","07Y","","4",""
"E87055","THE SURGERY","Y56","Q71","32 EARDLEY CRESCENT","KENSINGTON","LONDON","","","SW5 9JZ","19740401","","D","B","08Y","20130401","","020 73730140","","","","1","","08Y","","4",""
"E87705","DR ROSE'S PRACTICE","Y56","Q71","5 SLOANE AVENUE","","LONDON","","","SW3 3JD","19740401","","D","B","08Y","20130401","","020 75813187","","","","1","","08Y","","4",""
"E87738","KNIGHTSBRIDGE MEDICAL CENTRE","Y56","Q71","KNIGHTSBRIDGE MEDICAL CTR","71-75 PAVILION ROAD","KNIGHTSBRIDGE","","","SW1X 0ET","19910401","","A","B","08Y","20130401","","020 82372600","","","","1","","08Y","","4",""
"E87750","EARLS COURT SURGERY","Y56","Q71","269 OLD BROMPTON ROAD","EARLS COURT","","LONDON","","SW5 9JA","19930201","","A","B","08Y","20130401","","020 73702643","","","","1","","08Y","","4",""
"F81192","DR HEADON OT PRACTICE","Y55","Q79","STIFFORD CLAYS HEALTH CTR","CRAMMAVILL STREET","STIFFORD CLAYS,GRAYS","ESSEX","","RM16 2AP","19740401","","A","B","07G","20130401","","01375 800450","","","","1","","07G","","4",""
"F84096","THE LAWSON PRACTICE","Y56","Q71","THE LAWSON PRACTICE","ST.LEONARDS,85 NUTTALL ST","LONDON","","","N1 5HZ","19740401","","A","B","07T","20130401","","020 35386044","","","","1","","07T","","4",""
